Word,Frequency
chinese,1
smartphone,1
giant,1
xiaomi,1
takes,1
aim,1
apple,1
latest,2
device,1
wall,2
street’s,1
overbought,1
stocks,3
include,1
pepsico,1
big,1
investors,1
playing,1
a.i.,1
trend,2
consuming,1
street,1
consumer,1
may,1
underpriced,1
options,1
ahead,1
earnings,2
goldman,1
says,2
can't,1
figure,1
economy,1
walmart,1
home,2
depot,1
trouble,1
year-old,2
raised,1
million,2
build,1
platform,1
african,1
designers,2
portugal,1
spain,1
countries,1
bottle,1
wine,1
costs,1
less,1
barbara,1
corcoran,1
made,1
day,1
selling,1
apartments,1
nobody,1
wanted,1
a-list,1
offering,1
virtual,1
help,1
discount,1
creed,1
franchise,1
makes,1
statement,1
lots,1
money,1
modern,1
hollywood,1
cramer,2
sees,1
good,1
chance,1
salesforce's,1
benioff,1
soon,1
announce,1
succession,1
plans,1
warren,3
buffett’s,2
equity,1
portfolio,1
focused,1
tips,1
new,1
runners,1
running,1
coach,1
personal,1
trainer,1
pays,1
live,1
luxury,1
tiny,1
built,1
backyard,1
take,1
look,1
highlights,1
buffett's,1
annual,3
letter,3
shareholders.,1
top,1
u.s.,1
towns,1
millionaires,1
buying,1
second,1
homes,1
florida,1
henderson,1
test,1
could,1
weaken,1
section,1
change,1
free,1
speech,1
online,1
buffett,1
calls,1
stock,1
buyback,1
critics,1
economic,1
illiterate,1
movie,1
theaters,1
dying,1
they're,1
evolving,1
representation,1
black,1
artists,1
galleries,1
museums,1
changing,1
nokia,1
phone,1
fix,1
launches,1
right,1
repair,1
gains,1
steam,1
worst-paying,1
college,1
majors,1
five,1
years,1
graduation,1
mortgage,1
rate,1
get,1
depends,1
partly,1
credit,1
score.,1
expect,1
berkshire,2
operating,1
fall,1
cash,1
hoard,1
swells,1
nearly,1
billion,1
read,1
hathaway,1
shareholders,1
six,2
things,1
needed,1
market,1
stability,1
happen,1
week,1
pence,1
possible,1
trump,1
challenger,1
slams,1
apologists,1
putin,1
gop,1
elon,1
musk's,1
twitter,1
sued,1
least,1
companies,1
unpaid,1
bills,1
warner,1
bros.,1
discovery,1
sues,1
paramount,1
south,1
park,1
streaming,1
rights,1
tv,1
dinners,1
changed,1
american,1
cooking,1
forever,1
